ID_wyrobu;Opis_wyrobu;Kod FG;Flaga;Klient;Nazwa_wyrobu;Data_wprowadzenia;Indeks CMJ;Waga jednostki netto;ID_rodzaj_wyrobu;Ilosc_w_pudle
1285;Holly Lane Iced Bar (RSPO-SG) 2023-Aldi;FG140819;FA£SZ;ALDI;Holly Lane Iced Bar (RSPO-SG) 2023-Aldi;01.06.2023;22N00009;400;9;12
1284;Holly Lane TIR (RSPO-SG) 2023-Aldi;FG140820;FA£SZ;ALDI;Holly Lane TIR (RSPO-SG) 2023-ALDI;01.06.2023;22M00142;907;9;12
1298;Standard TIR Cake 2023- Iceland;FG140789;FA£SZ;ICELAND;Standard TIR Cake 2023- Iceland;05.06.2023;22M00095;907;9;12
1308;Premium Iced Bar Mary Berry (RSPO-SG) 2023- ICELAND;FG140822;FA£SZ;ICELAND;Premium Iced Bar 400g 2023- ICELAND;05.06.2023;22N00002;400;9;12
1278;Finest Mini Gift Cake 150g 2023(RSPO-SG)- TESCO;FG140714;FA£SZ;TESCO;Finest Mini Gift Cake 150g (RSPO-SG)2023- TESCO;06.06.2023;22M00101;150;9;12
1301;9 Mini Mince Pies 2023- Nico Foods- œwie¿y;FG020358;FA£SZ;Sargent;9 Mini Mince Pies 2023(RSPO-SG)- Nico Foods- œwie¿y;05.07.2023;22T50002;235.8;1;8
1323;9 medium Mince Pies-Bidfood;FG020397;FA£SZ;Sargent;9 Mini Mince Pies (RSPO-SG)2023-Bidfood;06.07.2023;22T50009;226.8;1;8
1281;Finest AOI (RSPO-SG) 2023-TESCO;FG140677;FA£SZ;TESCO;Finest AOI (RSPO-SG) 2023 -TESCO;06.07.2023;22M00126;907;9;12
1312;Favorina Mini Gift 150g (RSPO-SG) LIDL;FG140814;FA£SZ;LIDL;Favorina Mini Gift 150g (RSPO-SG) 2023 LIDL;07.07.2023;22M70006;150;9;12
1276;Finest Iced Bar (RSPO-SG) 2023- TESCO;FG140715;FA£SZ;TESCO;Finest Iced Bar(Snowflake) 400g (RSPO-SG) 2023- TESCO;11.07.2023;22N00001;400;9;12
1310;Favorina Iced Bar (RSPO-SG) LIDL;FG140796;FA£SZ;LIDL;Favorina Iced Bar 400g (RSPO-SG) 2023 LIDL;11.07.2023;22N00006;400;9;12
1288;ES Mini Gift Cake (RSPO-SG) 2023-ASDA;FG140818;FA£SZ;ASDA;ES Mini Gift Cake (RSPO-SG) 2023-ASDA;11.07.2023;22M70001;150;9;12
1306;27 Mini Mince Pies 2023- Bookers;FG020383;FA£SZ;Bookers;27 Mini Mince Pies 2023 (RSPO-SG)- Bookers;13.07.2023;22T50008;756;1;6
1293;Standard Yule Log (RSPO-SG) 2023 TESCO;FG040235;FA£SZ;TESCO;"Standard Yule Log (RSPO-SG;RA-MB)2023  TESCO";13.07.2023;22C08048;260;2;12
1316;Favorina TIR 907g (RSPO-SG) LIDL;FG140808;FA£SZ;LIDL;Favorina TIR 907g (RSPO-SG) 2023 LIDL;17.07.2023;22M70007;907;9;12
1315;6 Luxury Mince Pies -LIDL;FG020312;FA£SZ;LIDL;6 Luxury Mince Pies 2023 LIDL;19.07.2023;22T10148;360;1;15
1313;Luxury All Over Iced (RSPO-SG) LIDL 2023;FG140824;FA£SZ;LIDL;Luxury All Over Iced 907g(RSPO-SG) 2023 LIDL;19.07.2023;22M70010;907;9;6
1277;Iceland 2023 Mary Berry Premium AOI 900g;FG140821;FA£SZ;ICELAND;Premium AOI Cake 900g 2023- Iceland;24.07.2023;22M00172;900;9;4
1280;Finest Rich Fruit Round Cake 800g 2023 TESCO;FG140713;FA£SZ;TESCO;Finest Rich Fruit Round Cake 800g 2023 - TESCO;25.07.2023;22M00099;800;9;12
1296;9 Medium All Butter Mince Pies 2023- Waitrose;FG020384;FA£SZ;Waitrose;9 All Butter Mini Mince Pies 2023- Waitrose;26.07.2023;22T50004;270.9;1;12
1309;12 Luxury Mini Mince Pies (2023)- LIDL;FG020315;FA£SZ;LIDL;12 Luxury Mini Mince Pies (2023)- LIDL;31.07.2023;22T60001;222;1;12
1311;Luxury Iced Bar 400g (RSPO-SG) LIDL;FG140797;FA£SZ;LIDL;Luxury Iced Bar (Holly Leaves) 400g (RSPO-SG) 2023 LIDL;31.07.2023;22N00004;400;9;12
1314;Luxury RFR LIDL;FG140799;FA£SZ;LIDL;Luxury RFR 907g 2023 LIDL;02.08.2023;22M00127;907;9;8
1319;The Best 9 Mini Mince Pies 2023-Morrisons;FG020391;FA£SZ;Morrisons;The Best 9 Mini Mince Pies 2023-Morrisons;08.08.2023;22T50010;270;1;12
1299;Standard Iced bar 2023-Iceland;FG140788;FA£SZ;ICELAND;Standard Iced bar 2023-Iceland;08.08.2023;22N00003;400;9;12
1330;6 Assorted Jam Tarts (RSPO-SG)-Aldi;FG120233;FA£SZ;ALDI;Holly Lane 6 Assorted Jam Tarts (RSPO-SG)-ALDI;16.08.2023;22T00101;180;1;12
1286;ES 9 Mini Mince Pies 2023 -ASDA;FG020344;FA£SZ;ASDA;ES 9 Mini Mince Pies 2023 -ASDA;21.08.2023;22T50001;254.7;1;12
1304;9 Mini Mince Pies 2023- Brakes- œwie¿y;FG020394;FA£SZ;Sargent;9 Mini Mince Pies 2023(RSPO-SG)- Brakes- œwie¿y;21.08.2023;22T50005;226.8;1;8
1303;;FG020395;FA£SZ;Sargent;9 Mini Mince Pies 2023(RSPO-SG)- Brakes - mro¿ony;21.08.2023;22T50011;226.8;1;8
1290;5 Mini Yule Logs (RSPO-SG) 2023 -Aldi;FG030293;FA£SZ;ALDI;"5 Mini Yule Logs (RSPO-SG;RA-MB) 2023 -ALDI";23.08.2023;22C08127;130;2;12
1289;9 S/S Mini Mince Pies 2023-Aldi;FG020381;FA£SZ;ALDI;9 S/S Mini Mince Pies 2023-ALDI;29.08.2023;22T50007;224;1;12
1292;Standard 8 Chocolate Swirly Bites 2023 TESCO;FG090518;FA£SZ;TESCO;"Standard 8 Chocolate Swirly Bites(RSPO-SG;RA-MB) 2023  TESCO";31.08.2023;22C00110;151.2;2;12
1294;5 Snowmen Mini Rolls (RSPO-SG, RA-MB)  -TESCO;FG030292;FA£SZ;TESCO;5 Snowman Mini Rolls (RSPO-SG, RA-MB)2023 -TESCO;05.09.2023;22C08125;142.5;2;12
1272;"Chocolate Yule Log (RSPO-SG;RA-MB)2023 -ASDA";FG040276;FA£SZ;ASDA;"Chocolate Yule Log (RSPO-SG;RA-MB)2023 -ASDA";12.09.2023;22C08126;260;2;12
