"ID_pola","ID_kremu","ID_surowca","Ilosc","Nazwa_kremu","Nr receptury","Data zatwierdzenia","wersja","ID_typskladnika"
15309,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15310,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15311,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15312,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,5,1
15313,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15314,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15315,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15316,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15317,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15318,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15319,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15320,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15321,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,6,1
15322,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15323,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15324,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15325,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15326,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15327,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15328,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15329,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15330,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,7,1
15331,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15332,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15333,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15334,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15335,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15336,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15337,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15338,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15339,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,8,1
15340,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15341,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15342,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15343,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15344,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15345,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15346,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15347,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15348,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,9,1
15349,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15350,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15351,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15352,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15353,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15354,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15355,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15356,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15357,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,10,1
15358,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15359,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15360,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15361,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15362,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
