"ID_wyrobu","Opis_wyrobu","Kod FG","Nazwa_wyrobu","Data_wprowadzenia","Indeks CMJ","Waga jednostki netto","ID_rodzaj_wyrobu","Ilosc_w_pudle"
282,"5  Chocolate& Orange Cake Bars","FG220051","-5 Chocolate & Orange Cake Bars",27.3.2012 00:00:00,"22C08091",155.00,2,12.00
283,"6 mini roladki z kremem smietankowym w mlecznej czekoladzie","SP005","-6 Choco Mini Rolletjes SP005",12.4.2012 00:00:00,"22C20025",150.00,2,12.00
284,"mini roladki z kremem śmietankowy w mlecznej czekoladzie","COM01","-6 Mini Roules Tendre COM01",24.4.2012 00:00:00,"22C20026",150.00,2,12.00
285,"Roladki malinowe z kremem waniliowym","EM001","-Cakerolletje Framboos EM001",16.8.2012 00:00:00,"22C20070",150.00,2,12.00
288,"6 Value Apple Pies","FG180054","-6 Simply Value Apple Pies",27.6.2012 00:00:00,"22T10110",282.00,1,12.00
297,"6 Essential Jam Tarts","FG120156","Essential 6 Jam Tarts (RSPO-SG)- Waitrose",22.6.2012 00:00:00,"22T00250",180.00,1,12.00
299,"Biszkopty 500g","SPO002","-Biszkopty 500g",25.7.2012 00:00:00,"21B05506",500.00,5,6.00
300,"Mini roladki z kremem o smaku jogurtowym i nadzieniem wiśniowym z białą dekoracją GK 007","GK007","-6 Yoghurt Mini Rolls with white deco stripes GK007 (RSPO-MB)",2.7.2012 00:00:00,"22C20069",150.00,6,12.00
301,"Biszkopty 120g","SPO001","-Biszkopty 120g",25.7.2012 00:00:00,"21B05505",120.00,5,20.00
303,"Everyday Value raspberry flavoured swiss roll","FG040170","-Everyday Value raspberry flavoured swiss roll",30.7.2012 00:00:00,"22R00504",112.00,3,14.00
304,"Christmas 12 Mini Mince Pies","FG020131","-Christmas 12 Mini Mince Pies",6.8.2012 00:00:00,"22T10120",266.40,1,15.00
305,"9 Slime Tars","FG120161","-9 Slime Tarts",24.8.2012 00:00:00,"22T00237",270.00,1,12.00
306,"Koek Choco rolletjes AL005","AL005","-Koek Choco rolletjes AL005",16.8.2012 00:00:00,"22C20005",156.00,2,20.00
309,"Cocoa & Cream (Swiss Rolls) ROYAL","ROYD04","Cocoa & Cream (Swiss Rolls)(RSPO-SG) ROYAL Dania",30.8.2012 00:00:00,"22R01207",300.00,3,6.00
310,"Raspberry & Cream (Swiss Rolls) ROYAL","ROYD02","Raspberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL  Dania",30.8.2012 00:00:00,"22R01205",300.00,3,6.00
311,"Lemon & Cream (Swiss Rolls) ROYAL","ROY003","-Lemon & Cream (Swiss Rolls) ROYAL - Dania (RSPO-MB)",30.8.2012 00:00:00,"22R01203",300.00,3,6.00
312,"Strawberry & Cream (Swiss Rolls) ROYAL","ROYD01","-Strawberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL  Dania",30.8.2012 00:00:00,"22R01206",300.00,3,6.00
313,"9 Mini Mince Pies - Town & Country","FG020043","-9 Mini Mince Pies LIDDED - Town & Country",15.10.2012 00:00:00,"22T10117",199.80,1,12.00
314,"Finest 12 Mini Mince Pies","FG020168","-Finest 12 Mini Mince Pies",18.9.2012 00:00:00,"22T10021",262.00,1,12.00
316,"9 Mini Mince Pies - Town & Country","FG020042","-9 Mini Mince Pies LATTICE - Town & Country",15.10.2012 00:00:00,"22T10116",199.80,1,12.00
317,"9 Mini Mince Pies - Town & Country","FG0200154","-9 Mini Mince Pies SNOWFLAKE - Town & Country",15.10.2012 00:00:00,"22T10118",199.80,1,12.00
323,"6 Minirollchen Schokoladen - Ruhrkuchen BA 001","BA001","-6 Minirollchen Schokoladen - Ruhrkuchen BA001",29.1.2013 00:00:00,"22C20031",150.00,2,12.00
325,"Cocoa & Cream (Swiss Rolls) ROYAL-Szwecja","ROY004","Cocoa & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja",,"22R01204",300.00,3,6.00
326,"Raspberry & Cream (Swiss Rolls) ROYAL-Szwecja","ROY002","Raspberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja",,"22R01201",300.00,3,6.00
328,"Strawberry & Cream (Swiss Rolls) ROYAL","ROY001","Strawberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja",,"22R01202",300.00,3,6.00
329,"6 Minirollchen Schokoladen - Ruhrkuchen BA 002","BA002","-6 Minirollchen Schokoladen - Ruhrkuchen BA002",29.1.2013 00:00:00,"22C20032",150.00,2,12.00
330,"9 Assorted Jam Tarts","FG120169","-Hoppers 9 Assorted Jam Tarts - Pounland",23.1.2013 00:00:00,"22T00246",270.00,1,12.00
334,"Ciastka kruche maślane","C00010","-Ciastka kruche maślane",31.1.2013 00:00:00,"21K00301",140.00,4,12.00
337,"Cabico- Strawberry flavoured Swiss Roll with Cream Filling","CAB027","Strawberry flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico",26.2.2013 00:00:00,"22R01212",300.00,3,6.00
338,"Cabico- Lemon flavoured Swiss Roll with Cream Filling","CAB028","Lemon flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico",26.2.2013 00:00:00,"22R01213",300.00,3,6.00
339,"Cabico- Raspberry flavoured Swiss Roll with Cream Filling","CAB029","Raspberry flavoured Swiss Roll with Cream Filling (RSPO-SG)-Cabico",26.2.2013 00:00:00,"22R01211",300.00,3,6.00
340,"Cabico- Chocolate flavoured Swiss Roll with Vanilla Cream Filling","CAB026","Chocolate flavoured Swiss Roll with Vanilla Cream Filling (RSPO-SG) -Cabico",26.2.2013 00:00:00,"22R01214",300.00,3,6.00
345,"Torcik czekoladowy Choco Bars","SMP05","-The Simpsons 4 Choco Bars",18.3.2013 00:00:00,"22C04722",120.00,2,8.00
346,"Red Lion Delicious Choc Chip Cookies","RL0002","-Red Lion Delicious Choc Chip Cookies",18.3.2013 00:00:00,"22K02903",140.00,4,16.00
347,"Red Lion Butter Biscuits","RL0001","-Red Lion Butter Biscuits",21.5.2013 00:00:00,"22K02902",140.00,4,16.00
348,"5 Jaffa Mini Rolls Weight Watchers","WWA26","-5 Jaffa Mini Rolls Weight Watchers",27.3.2013 00:00:00,"22C04723",105.00,2,6.00
350,"9 Assorted Jam Tarts Hoppers","FG120173","-Hoppers 9 Assorted Jam Tarts - ASDA",21.3.2013 00:00:00,"22T00247",270.00,1,12.00
353," ROYAL Choc Chip Cookies","ROY","-ROYAL Choc Chip Cookies",3.4.2013 00:00:00,"22K02901",300.00,4,16.00
354,"Babeczki o smaku śmietankowym w czekoladzie","Z00005","-Babeczki o smaku śmietankowym w czekoladzie",12.11.2013 00:00:00,"22C00101",130.00,2,4.00
355,"10 Miniroladek czekoladowych z kremem o smaku waniliowym oblane w mlecznej czekoladzie","FG030221","-Hoppers 10 Chocolate Mini Rolls (RSPO-MB)",27.6.2013 00:00:00,"22C08082",270.00,2,12.00
357,"6 Mini roladek w czekoladzie z kremem o smaku waniliowym","CM01","-6 Chocolate Mini Rolls (RSPO-MB)",9.7.2013 00:00:00,"22C08053",150.00,2,6.00
358,"Everyday value 6 Mince Pies","FG020176","-Everyday Value 6 Mince Pies (2013)",21.8.2013 00:00:00,"22T10128",252.00,1,24.00
360,"Haribo Starmix Treat Cake A5","FG080050","-Haribo Starmix Treat Cake A5",13.9.2013 00:00:00,"22S00001",442.00,7,4.00
361,"Haribo Starmix Treat Cake A4","FG080046","-Haribo Starmix Celebration Cake A4",31.7.2013 00:00:00,"22S00002",860.00,7,4.00
364,"Mini choco rolls 150g x12","EM003","-6 Mini choco rolls EM003 (RSPO-MB)",3.9.2013 00:00:00,"22C20027",150.00,2,12.00
365,"12 Mini Slime Tarts","FG120182","-12 Scary Slime Tarts",11.9.2013 00:00:00,"22T10126",198.20,1,10.00
366,"12 Mini Lemon Curd Tarts","FG120178","-12 Mini Lemon Curd Tarts",19.8.2013 00:00:00,"22T10123",198.20,1,10.00
367,"12 Mini Strawberry Jam Tarts","FG120179","-12 Mini Strawberry Jam Tarts",19.8.2013 00:00:00,"22T10122",198.20,1,10.00
368,"Babeczki z kremem czekoladowym","FG220055","-8 Chocolate Dream Bites",26.8.2013 00:00:00,"22C08084",130.00,2,12.00
369,"Babeczki z kremem o smaku truskawkowym","FG220054","-8 Strawberry Dream Bites",26.8.2013 00:00:00,"22C08083",130.00,2,12.00
370,"9 Lemon Curd Tarts","FG120172","-9 Lemon Curd Tarts (RSPO-MB)",23.8.2013 00:00:00,"22T10135",270.00,1,12.00
371,"9 Strawberry Jam Tarts","FG120171","-9 Strawberry Jam Tarts (RSPO-MB)",23.8.2013 00:00:00,"22T10133",270.00,1,12.00
372,"9 Assorted Jam Tarts","FG120170","-9 Assorted Jam Tarts (RSPO-MB)",23.8.2013 00:00:00,"22T10134",270.00,1,12.00
373,"Hoppers 9 Apple Pies","FG180058","-Hoppers 9 Apple Pies",26.8.2013 00:00:00,"22T10132",351.00,1,12.00
374,"12 Mini Assorted Jam Tarts","FG120177","-12 Mini Assorted Jam Tarts",26.8.2013 00:00:00,"22T10121",198.20,1,10.00
375,"Raspberry Swiss Rolls","FG040176","-Raspberry Swiss Rolls - (RSPO-MB) - TESCO",27.8.2013 00:00:00,"22R00013",195.00,3,12.00
376,"12 Extra Special Mini Mince Pies","FG020137","-12 Extra Special Mini Mince Pies",26.8.2013 00:00:00,"22T10108",266.40,1,12.00
377,"9 Deluxe Mini Mince Pies","FG020179","-9 Luxury Mini Mince Pies(UK)",4.9.2013 00:00:00,"22T10127",198.00,1,24.00
378,"18 Mince Pies","FG020180","-18 Mince Pies",2.10.2013 00:00:00,"22T10130",664.00,1,9.00
379,"Savers 9  Mince","FG020173","-Savers 9 Mince",9.9.2013 00:00:00,"22T10129",351.00,1,12.00
380,"9 Hoppers Mince Pies","FG020184","-9 Hoppers Mince Pies",6.9.2013 00:00:00,"22T10136",351.00,1,12.00
381,"Hoppers 9 Mini Ritch Fruit Mince Pies","FG020162","-Hoppers 9 Mini Ritch Fruit Mince Pies",11.9.2013 00:00:00,"22T10107",198.00,1,10.00
382,"10 Chocolate Mini Rolls  Rowan Hill","FG030252","-10 Chocolate Mini Rolls Rowan Hill (RSPO-MB; UTZ-MB)",23.9.2013 00:00:00,"22C08072",260.00,2,12.00
383,"Raspberry&Cream swiss Roll - 400g","ROY006","-Raspberry&Cream(Swiss Roll) ROYAL - 400g",19.9.2013 00:00:00,"22R01231",400.00,3,5.00
384,"Cocoa&Cream Swiss Roll - 400g","ROY007","-Cocoa&Cream(Swiss Roll) ROYAL - 400g",19.9.2013 00:00:00,"22R01232",400.00,3,5.00
385,"Halloween Chocolate Traybake - TESCO","FG080048","-Halloween Chocolate Traybake - TESCO (A4)",23.9.2013 00:00:00,"22S00004",770.00,1,4.00
386,"Flying Saucers Vanilla","FG210025","-Flying Saucers Vanilla",9.10.2013 00:00:00,"22B05001",120.00,5,20.00
388,"Flying Saucers Banana","FG210027","-Flying Saucers Banana",8.10.2013 00:00:00,"22B05003",120.00,5,20.00
389,"6 Assorted Jam Tarts- Happy Shopper","FG120186","-6 Assorted Jam Tarts- Happy Shopper",7.11.2013 00:00:00,"22T10137",180.00,1,6.00
390,"10 Chocolate Mini Rolls- Happy Shoper","FG030224","-10 Chocolate Mini Rolls- Happy Shopper (RSPO-MB)",6.11.2013 00:00:00,"22C08074",270.00,2,6.00
391,"Strawberry Swiss Roll- Happy Shopper","FG040177","-Strawberry &Vanilla Swiss Roll- Happy Shopper",7.11.2013 00:00:00,"22R01016",285.00,3,6.00
392,"Chocolate Swiss Roll- Happy Shopper","FG040178","-Chocolate & Vanilla Swiss Roll- Happy Shopper",6.11.2013 00:00:00,"22R01017",286.00,3,6.00
393,"9 Mini Lemon Meringue Tarts","FG120180","-9 Mini Lemon Meringue Tarts",22.10.2013 00:00:00,"22T10124",164.00,1,12.00
394,"9 Mini Millionaires Tarts","FG120181","-9 Mini Millionaires Tarts",22.10.2013 00:00:00,"22T10125",175.50,1,12.00
395,"Christmas Tray Bake A4","FG080049","-Christmas Tray Bake A4",26.11.2013 00:00:00,"22S00003",770.00,7,4.00
396,"9 Deluxe Mini Mince Pies","FG020186","-9 Luxury Mini Mince Pies(Irlandia)",31.10.2013 00:00:00,"22T10127",198.00,1,24.00
397,"10 Mini Yule Logs","FG030225","-10 Mini Yule Logs",13.11.2013 00:00:00,"22C08076",230.00,2,12.00
398,"Chocolate Yule Log","FG040179","-Chocolate Yule Log",13.11.2013 00:00:00,"22C08073",348.00,2,12.00
399,"One Stop 6 Jam Tarts","FG120135","-One Stop 6 Jam Tarts",28.11.2013 00:00:00,"22T00207",180.00,1,12.00
400,"Haribo Starmix Celebration Cakes A-4","FG080040","-Haribo Starmix Celebration Cakes A-4",6.12.2013 00:00:00,"22S00013",860.00,7,4.00
401,"Haribo Starmix Celebration Cakes A-4","FG080040","-Haribo Starmix Celebration Cakes A-4",6.12.2013 00:00:00,"22S00012",860.00,7,4.00
402,"Jumbo Chocolate & Vanilla Swiss Roll","FG040148","-Jumbo Chocolate & Vanilla Swiss Roll (RSPO-MB)",12.12.2013 00:00:00,"22R00102",390.00,3,12.00
403,"Jumbo Strawberry & Vanilla Swiss Roll","FG040155","-Jumbo Strawberry & Vanilla Swiss Roll (RSPO-MB)",12.12.2013 00:00:00,"22R00103",390.00,3,12.00
404,"Haribo Traybake A-4 - TESCO","FG080043","-Haribo Traybake A-4 - TESCO (2szt.)",11.12.2013 00:00:00,"22S00014",860.00,7,2.00
406,"Mini Jogurt Cherry Deco Rolls - HO169","HO169","-Mini Jogurt Cherry Deco Rolls - HO169 (RSPO-MB)",27.12.2013 00:00:00,"22C20068",150.00,2,12.00
407,"Bugz Cake - TESCO","FG090468","-Bugz Cake - TESCO",20.1.2014 00:00:00,"22M00001",835.00,8,1.00
408,"The World's Best Cake (Medal Cake)","FG090478","-The World's Best Cake (Medal Cake) - ASDA",20.1.2014 00:00:00,"22M00012",791.00,8,2.00
409,"The World's Best Cake (Medal Cake)","FG090476","-The World's Best Cake (Medal Cake) - Morrison's",21.1.2014 00:00:00,"22M00011",791.00,8,2.00
410,"Flying Saucers Vanilla -TESCO","FG210028","-Flying Saucers Vanilla -TESCO",23.1.2014 00:00:00,"22B05011",120.00,5,20.00
411,"Flying Saucers Chocolate -TESCO","FG210029","-Flying Saucers Chocolate -TESCO",23.1.2014 00:00:00,"22B05012",120.00,5,20.00
413,"Hoppers 9 Apple Pies - TESCO","FG180059","-Hoppers 9 Apple Pies - TESCO",23.1.2014 00:00:00,"22T10138",351.00,1,12.00
414,"Roladka malinowa z kremem waniliowym, dekorowana różową polewą.","SP006","-Raspberry mini rolls with pink deco stripes SP006 (RSPO-MB)",13.2.2014 00:00:00,"22C20058",150.00,6,12.00
415,"Roladki malinowe z kremem waniliowym, dekorowana różową polewą.","BB003","-Raspberry mini rolls with pink deco stripes BB 003",13.2.2014 00:00:00,"22C20062",150.00,6,12.00
416,"Roladka malinowa z kremem waniliowym, dekorowana różową polewą","JL002","-Raspberry mini rolls with pink deco stripes JL002 (RSPO-MB)",13.2.2014 00:00:00,"22C20054",150.00,6,12.00
417,"Roladka malinowa z kremem waniliowym,  dekorowana różową polewą.","FAN02","-6 Raspberry mini rolls with pink deco stripes FAN02 (RSPO-SG)",13.2.2014 00:00:00,"22C20052",150.00,6,12.00
418,"Roladka malinowa z kremem waniliowym,  dekorowana różową polewą.","PL003","-6 Raspberry mini rolls with pink deco stripes PL003 (RSPO-MB)",13.2.2014 00:00:00,"22C20056",150.00,6,12.00
419,"Roladki malinowe z kremem waniliowym,  dekorowana różową polewą.","EM001","-6 Raspberry mini rolls with pink deco stripes EM001 (RSPO-MB)",13.2.2014 00:00:00,"22C20070",150.00,2,12.00
420,"Roladki malinowe z kremem waniliowym,  dekorowane różową polewą.","HO056","-6 Raspberry mini rolls with pink deco stripes HO056 (RSPO-MB)",13.2.2014 00:00:00,"22C20063",150.00,6,12.00
421,"6 Mini Blackcurrant Sundaes","FG120196","-6 Mini Blackcurrant Sundaes",28.4.2014 00:00:00,"22T10013",118.50,1,12.00
422,"6 Mini Apple&Crumble Tarts","FG120195","-6 Mini Apple&Crumble Tarts",24.4.2014 00:00:00,"22T10012",105.60,1,12.00
423,"6 Mini Lemon Meringue Tarts","FG120194","-6 Mini Lemon Meringue Tarts",24.4.2014 00:00:00,"22T10011",105.00,1,12.00
424,"Farmyard Friends","FG090492","-Farmyard Friends",3.3.2014 00:00:00,"22M00021",975.00,8,1.00
425,"Roladka malinowa z kremem waniliowym, dekorowana różową polewą","CO002","-Raspberry mini rolls with pink deco stripes CO002 (RSPO-MB)",24.2.2014 00:00:00,"22C20071",150.00,6,12.00
426,"Happy Easter Chocolate Traybake - TESCO","FG080051","-Happy Easter Chocolate Traybake - TESCO (A4)",24.2.2014 00:00:00,"22S00006",770.00,1,4.00
430,"Morrisons 6 Lemon Curd Tarts","FG120191","6 Lemon Curd Tarts (RSPO-SG) -Morrisons",18.4.2014 00:00:00,"22T00221",184.20,1,12.00
